Year,Month,Country,all_Northing,all_Easting,possible_treatment_Location,T_area (ha),Lat,Lon
2020,Jul,KENYA,[],[],Location Missing,12080,Missing,Missing
2020,Jul,UGANDA,['0231N'],['3439E'],Moroto,3080,02.31,34.39
2020,Jul,SAUDI ARABIA,"['1729N', '1819N']","['4408E', '4245E']",Mushait,440,18.19,42.45
2020,Jul,YEMEN,"['1521N', '1610N', '1430N', '1431N', '1512N', '1612N', '1656N', '1341N', '1250N', '1416N', '1306N', '1600N']","['4412E', '4446E', '4629E', '4908E', '5115E', '5210E', '4345E', '4443E', '4503E', '4735E', '4523E', '4312E']",Suq Abs,10718,16.00,43.12
2020,Jul,OMAN,"['1700N', '1736N', '2255N', '2415N']","['5405E', '5401E', '5731E', '5547E']",Buraimi,443,24.15,55.47
2020,Jul,IRAN,['3252N'],['5913E'],Birjand,1450,32.52,59.13
2020,Jul,PAKISTAN,"['2658N', '2600N', '2749N', '3015N', '2614N', '2421N']","['6406E', '6303E', '6639E', '6700E', '6619E', '7045E']",Nagarparkar,33599,24.21,70.45
2020,Jul,INDIA,"['2618N', '2818N']","['7308E', '7458E']",Churu,102645,28.18,74.58
2020,Jul,AFGHANISTAN,"['3336N', '3320N']","['6914E', '6956E']",Khost,304,33.20,69.56
2020,Nov,MAURITANIA,"['1809N', '1827N', '1945N', '2032N']","['1558W', '1444W', '1421W', '1308W']",Atar,258,20.32,-13.08
2020,Nov,NIGER,"['1843N', '1920N']","['0721E', '0546E']",Assamakka,1398,19.20,05.46
2020,Nov,ALGERIA,"['1934N', '2250N', '2753N']","['0546E', '0528E', '0017W']",Valley,167,27.53,-00.17
2020,Nov,SUDAN,"['1731N', '1820N', '2002N', '2119N', '2146N', '1827N', '2009N', '1533N', '1910N', '1932N']","['3607E', '3621E', '3551E', '3613E', '3651E', '3741E', '3706E', '3235E', '3027E', '3320E']",Abu Hamed,66488,19.32,33.20
2020,Nov,ERITREA,"['1640N', '1357N', '1441N', '1551N', '1616N', '1626N']","['3828E', '4138E', '4057E', '3903E', '3911E', '3840E']",Naro,8986,16.26,38.40
2020,Nov,ETHIOPIA,"['1108N', '1329N', '0922N', '0557N']","['3938E', '3928E', '4250E', '4333E']",Gode,85382,05.57,43.33
2020,Nov,SOMALIA,"['0956N', '0931N', '0931N', '1040N', '1023N', '0824N', '0930N', '0320N']","['4313E', '4402E', '4533E', '4720E', '4425E', '4829E', '4905E', '4213E']",Garbahare,30323,03.20,42.13
2020,Nov,KENYA,"['0324S', '0145N']","['3833E', '4003E']",Wajir,167,01.45,40.03
2020,Nov,EGYPT,"['2213N', '2308N', '2504N', '2247N', '2219N', '3131N']","['3638E', '3535E', '3454E', '3126E', '3138E', '2509E']",Salum,1225,31.31,25.09
2020,Nov,SAUDI ARABIA,"['1813N', '1729N', '2439N', '2625N', '2130N', '2125N', '2346N', '2115N', '2309N', '1909N']","['4230E', '4408E', '4642E', '5003E', '3910E', '3949E', '3847E', '4021E', '3851E', '4107E']",dah,5190,19.09,41.07
2020,Nov,YEMEN,"['1600N', '1410N', '1521N', '1610N', '1452N', '1302N', '1306N', '1333N', '1401N', '1416N']","['4312E', '4318E', '4412E', '4446E', '4545E', '4434E', '4523E', '4644E', '4820E', '4735E']",’,335,14.16,47.35
2020,Nov,IRAN,"['2540N', '2636N', '2854N']","['5746E', '5753E', '5050E']",Bushehr,79,28.54,50.50
2021,Apr,SUDAN,"['1906N', '1827N']","['3719E', '3741E']",Tokar,4640,18.27,37.41
2021,Apr,ETHIOPIA,"['0707N', '0935N', '0922N', '0813N']","['4000E', '4150E', '4250E', '4333E']",Bur,14370,08.13,43.33
2021,Apr,SOMALIA,"['0824N', '0930N', '0646N', '0828N', '1040N', '0931N', '0931N', '0956N']","['4829E', '4905E', '4725E', '4721E', '4720E', '4533E', '4402E', '4313E']",Boroma,5120,09.56,43.13
2021,Apr,KENYA,"['0017S', '0106N']","['3605E', '3642E']",Maralal,136,01.06,36.42
2021,Apr,EGYPT,"['2929N', '2902N', '2830N', '2224N', '2504N']","['3453E', '3440E', '3430E', '3624E', '3454E']",Alam,307,25.04,34.54
2021,Apr,SAUDI ARABIA,"['2731N', '2430N', '2625N', '2823N', '2542N', '2948N', '2821N', '2405N']","['4141E', '4422E', '5003E', '3635E', '3917E', '3952E', '4556E', '3802E']",enbo,8250,24.05,38.02
2021,Apr,KUWAIT,['2838N'],['4808E'],farm,2,28.38,48.08
2021,Apr,IRAQ,"['3302N', '3429N', '3420N']","['4017E', '4154E', '4111E']",im,140,34.20,41.11
2021,Apr,JORDAN,"['2920N', '3230N', '3157N', '3111N', '3150N', '3019N', '3102N']","['3602E', '3812E', '3556E', '3543E', '3649E', '3610E', '73528E']",Al Jafr,1500,30.19,36.10
2021,Apr,SYRIA,"['3434N', '3434N', '3520N', '3242N', '3409N', '3331N', '3558N', '3612N', '3531N', '3307N']","['4056E', '4054E', '4007E', '3634E', '3645E', '3618E', '3802E', '3709E', '3547E', '3549E']",Quneitra,2867,33.07,35.49
2021,Apr,LEBANON,"['3410N', '3416N', '3400N']","['3625E', '3625E', '3613E']",Baalbek,406,34.00,36.13
2021,Apr,IRAN,"['2854N', '3224N', '3021N']","['5050E', '4824E', '4817E']",Abadan,4718,30.21,48.17
